시설명,시도명,시군구명,소재지도로명주소,소재지지번주소,위도,경도,관리기관명,관리기관전화번호,데이터기준일자,제공기관코드,제공기관명
광교호수초,경기도,수원시,경기도 수원시 영통구 광교호수공원로 205,경기도 수원시 영통구 원천동 589-1,37.2796927,127.058864,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
능실초,경기도,수원시,경기도 수원시 권선구 호매실로165번길 28,경기도 수원시 권선구 호매실동 1391,37.25972147,126.9560546,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
산남초,경기도,수원시,경기도 수원시 영통구 산남로 86,경기도 수원시 영통구 매탄동 111-164,37.27064523,127.0501161,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
신영초,경기도,수원시,경기도 수원시 영통구 영통로 266,경기도 수원시 영통구 영통동 972-3,37.25015801,127.0602538,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
우만초,경기도,수원시,경기도 수원시 팔달구 창룡대로210번길 20,경기도 수원시 팔달구 우만동 300-3,37.29144659,127.0324161,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
화양초,경기도,수원시,경기도 수원시 팔달구 덕영대로735번길 65,경기도 수원시 팔달구 화서동 274,37.28354656,126.9950478,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
화홍초,경기도,수원시,경기도 수원시 팔달구 수성로258번길 70,경기도 수원시 팔달구 화서동 7-1,37.28724566,127.0028824,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
곡선초,경기도,수원시,경기도 수원시 권선구 덕영대로1217번길 36,경기도 수원시 권선구 권선동 1199,37.25076143,127.0253992,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
정자초,경기도,수원시,경기도 수원시 장안구 장안로 191,경기도 수원시 장안구 정자동 873-8,37.2995599,126.9951959,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
지동초,경기도,수원시,경기도 수원시 팔달구 중부대로 67,경기도 수원시 팔달구 지동 119-1,37.27715909,127.024503,경기도 수원시청 교통정책과,031-5191-2505,2026-04-10,3740000,경기도 수원시
